feature,importance_mean,importance_std
amt_credit,0.02779441332686003,0.0009294777197766781
days_birth,0.021285160348885567,0.001233578207116827
amt_annuity,0.017958504290858483,0.0012695648221584881
days_employed,0.012738074817016814,0.0006376907791572297
name_education_type,0.011934294612620754,0.000801423636611355
code_gender,0.007887448478108693,0.000607445430157373
name_contract_type,0.006422977594123025,0.0009164279157473307
name_income_type,0.004993646457689749,0.001090631193314067
amt_income_total,0.004417790830253204,0.0007431508610109967
cnt_fam_members,0.0023865108709007765,0.00026983809883558495
occupation_type,0.0009650303729138665,0.0004958339081862584
emergencystate_mode,0.0,0.0
wallsmaterial_mode,0.0,0.0
livingapartments_medi,0.0,0.0
totalarea_mode,0.0,0.0
housetype_mode,0.0,0.0
fondkapremont_mode,0.0,0.0
obs_30_cnt_social_circle,0.0,0.0
def_30_cnt_social_circle,0.0,0.0
nonlivingarea_medi,0.0,0.0
nonlivingapartments_medi,0.0,0.0
livingarea_medi,0.0,0.0
elevators_medi,0.0,0.0
landarea_medi,0.0,0.0
floorsmin_medi,0.0,0.0
floorsmax_medi,0.0,0.0
entrances_medi,0.0,0.0
def_60_cnt_social_circle,0.0,0.0
commonarea_medi,0.0,0.0
years_build_medi,0.0,0.0
years_beginexpluatation_medi,0.0,0.0
basementarea_medi,0.0,0.0
apartments_medi,0.0,0.0
nonlivingarea_mode,0.0,0.0
nonlivingapartments_mode,0.0,0.0
livingarea_mode,0.0,0.0
obs_60_cnt_social_circle,0.0,0.0
flag_document_5,0.0,0.0
days_last_phone_change,0.0,0.0
flag_document_15,0.0,0.0
amt_req_credit_bureau_qrt,0.0,0.0
amt_req_credit_bureau_mon,0.0,0.0
amt_req_credit_bureau_week,0.0,0.0
amt_req_credit_bureau_day,0.0,0.0
amt_req_credit_bureau_hour,0.0,0.0
flag_document_21,0.0,0.0
flag_document_20,0.0,0.0
flag_document_19,0.0,0.0
flag_document_18,0.0,0.0
flag_document_17,0.0,0.0
flag_document_16,0.0,0.0
flag_document_14,0.0,0.0
flag_document_2,0.0,0.0
flag_document_13,0.0,0.0
flag_document_12,0.0,0.0
flag_document_11,0.0,0.0
flag_document_10,0.0,0.0
flag_document_9,0.0,0.0
flag_document_8,0.0,0.0
flag_document_7,0.0,0.0
flag_document_6,0.0,0.0
landarea_mode,0.0,0.0
flag_document_4,0.0,0.0
flag_document_3,0.0,0.0
livingapartments_mode,0.0,0.0
commonarea_mode,0.0,0.0
floorsmin_mode,0.0,0.0
flag_emp_phone,0.0,0.0
live_region_not_work_region,0.0,0.0
reg_region_not_work_region,0.0,0.0
reg_region_not_live_region,0.0,0.0
hour_appr_process_start,0.0,0.0
weekday_appr_process_start,0.0,0.0
region_rating_client_w_city,0.0,0.0
region_rating_client,0.0,0.0
flag_email,0.0,0.0
flag_phone,0.0,0.0
flag_cont_mobile,0.0,0.0
flag_work_phone,0.0,0.0
flag_mobil,0.0,0.0
floorsmax_mode,0.0,0.0
own_car_age,0.0,0.0
days_id_publish,0.0,0.0
days_registration,0.0,0.0
region_population_relative,0.0,0.0
name_housing_type,0.0,0.0
name_family_status,0.0,0.0
name_type_suite,0.0,0.0
amt_goods_price,0.0,0.0
cnt_children,0.0,0.0
flag_own_realty,0.0,0.0
flag_own_car,0.0,0.0
reg_city_not_live_city,0.0,0.0
reg_city_not_work_city,0.0,0.0
live_city_not_work_city,0.0,0.0
organization_type,0.0,0.0
entrances_mode,0.0,0.0
elevators_mode,0.0,0.0
years_build_mode,0.0,0.0
years_beginexpluatation_mode,0.0,0.0
basementarea_mode,0.0,0.0
apartments_mode,0.0,0.0
nonlivingarea_avg,0.0,0.0
nonlivingapartments_avg,0.0,0.0
livingarea_avg,0.0,0.0
livingapartments_avg,0.0,0.0
landarea_avg,0.0,0.0
floorsmin_avg,0.0,0.0
floorsmax_avg,0.0,0.0
entrances_avg,0.0,0.0
elevators_avg,0.0,0.0
commonarea_avg,0.0,0.0
years_build_avg,0.0,0.0
years_beginexpluatation_avg,0.0,0.0
basementarea_avg,0.0,0.0
apartments_avg,0.0,0.0
ext_source_3,0.0,0.0
ext_source_2,0.0,0.0
ext_source_1,0.0,0.0
amt_req_credit_bureau_year,0.0,0.0
